Year,China,Germany,Indonesia,Japan,"Korea, Rep.",Malaysia,Singapore,Thailand,United States
1990,,,,,,,,,
1991,3279.98301317201,93375.5231036302,12329.328367347,70473.4579400424,35977.9382182175,37393.86825214,99464.656105742,17948.0336005588,92226.4112223463
1992,3712.76505423437,96468.9113641434,12744.1885696456,70251.7666469464,37461.8547486957,39192.0225567513,102928.509021345,18685.9888878276,94644.53193571
1993,4206.53199151936,97187.0555790706,13378.9864507769,69777.4152187582,39566.2902342099,41686.6019183468,111054.487155976,19799.8961651795,95590.4919895656
1994,4721.98104444241,100261.628039716,14013.3389678388,70467.273655584,41891.5025413435,43706.5287784286,118264.497364813,20901.1991977762,96896.9971339889
1995,5196.22203323443,101493.210450794,14827.4878731667,72260.6717603363,44736.8515990235,46085.0643930878,121365.660469131,21981.5581669146,97546.7646951955
1996,5661.5805960131,103304.570198061,15640.6849869155,74185.1509627112,47316.3042890432,48609.9626770834,123855.791035534,22670.0879475686,99446.0311320971
1997,6121.27521567607,105779.444559159,16093.8517604167,74274.1791767179,49477.7154305634,50325.6885733836,126602.608102746,21583.0459087907,101486.043688418
1998,6535.06469385714,107815.996830943,13654.6518186482,73854.3423213555,50063.6118199093,45357.4122356734,119534.966947086,20305.803194681,104208.956941677
1999,6976.91830652546,108403.179271506,13532.0739695312,74297.9325530085,54909.9271148399,46578.3247022312,126773.542705314,21072.3930457463,107377.611310531
2000,7507.97772866966,110738.589348817,13753.383889271,76595.1701717364,57329.615825664,48741.9480726342,133638.819737196,21428.3308485977,109932.251061803
2001,8073.92386875361,112130.588109901,14109.4896187141,77336.5420071513,58844.0810452867,47592.7434036548,128225.167147897,21819.650378074,111034.529494008
2002,8738.60821150108,112474.235960238,14805.778453663,78318.8391742534,61870.66863541,48449.4676473346,136241.663191432,22704.3924209265,113396.808933308
2003,9529.10705460335,112979.619367312,15311.7258542114,79729.8910828422,63891.9158959107,49604.0658386749,144462.56247586,23991.2097456775,116237.533111269
2004,10354.5772045455,115960.37424064,15910.66312492,81367.8752352009,65896.0255172525,51148.8106118513,156169.427334568,25130.7354876989,119148.824713745
2005,11398.7998990944,115549.947258408,16978.0996165071,82495.4524024282,68541.3421461482,52036.741526168,160650.427060706,25775.8038697821,121196.232573808
2006,12705.2125353903,117199.199257401,17590.1869014914,83263.9190256313,71215.7179912572,52943.1579730595,164209.458302147,26863.0767579113,122255.200071888
2007,14405.2804526472,118256.209426977,17939.3788308348,84101.7683466273,74452.2643040518,54336.3099593009,170640.014834768,27791.9911062199,123651.003100458
2008,15770.3966381375,117711.281958109,18504.4882656508,83402.4918841693,76144.1719171651,55009.9247154963,160758.792409294,27912.7297078629,123985.504587741
2009,17223.817865873,111572.236862386,18928.1391156703,79864.6079136099,76906.3217081867,52453.619025694,158438.142947161,27483.1880785805,125344.453011453
2010,18968.3219391726,115038.62159444,19533.7825833436,83467.6524010132,81146.2680327721,54310.3178584915,172100.163169413,29419.4489214376,129284.288220084
2011,20649.9669763093,118953.663674602,20220.2222998771,83543.0726000156,82206.9322488938,55321.8431685699,177780.549644757,28698.0299373995,130147.263454206
2012,22258.0201916817,118067.208501224,20802.9309394067,84905.3270249865,82709.1064199138,56100.2655690344,178620.565338321,30555.5357360259,130909.115508954
2013,23987.4531053891,117300.55098369,21813.8602585321,85997.7218498617,84089.4847842006,56567.2051482073,184338.332700781,32192.0969536608,132306.492107158
2014,25748.440566635,118668.341750626,22556.1121472951,85562.2629518529,84589.8305306042,57577.7458273473,186222.019822587,32381.9233267894,133281.603731104
2015,27525.944530077,119496.711236216,23462.490158459,86597.7821013644,86160.4465540407,59115.0666913895,186529.463471437,33361.8467398692,135038.955151866
2016,29368.9159267195,120306.575313947,24358.5988130577,86240.9099959869,88154.2542653821,60708.4269381503,192039.286458067,34706.2573619582,135265.257758258
2017,31434.1717019663,122479.574426158,24981.5489612606,86700.1536098057,90163.5046416164,62735.5048045489,201366.325701543,36301.276344058,136420.185572236
2018,33601.3928369762,122737.088773668,25734.2242950276,85515.4689479469,92692.6222352801,63942.8344637436,206940.018708493,37364.4397250631,138621.235992433
2019,35777.2153203047,122616.680134217,26237.972652883,84299.252416948,93750.5460589006,65082.787630927,204683.223038573,38366.1569552291,140253.575221907
2020,37511.3571806438,120091.530286554,25884.2787740597,81349.2692847553,93905.8652726407,61442.1481504419,200255.48262408,35914.6207865648,145799.895376767
2021,39480.6030794518,124673.857586199,27058.2834906026,83620.4025490706,97284.8428897318,62214.0306927762,224002.692383379,36345.6913344344,149654.666813837
2022,41490.2318856884,125524.782244326,27580.8021477977,83825.8964657049,96960.0305578976,65445.3328429099,225785.217182617,36892.9327467022,148654.120404472
2023,43341.4185386626,123751.082077915,28184.3035117488,84722.5218987574,97026.6007247124,66453.9505440969,219191.675475536,37074.5183596341,150436.445055838
2024,45841.7963646181,123471.847647958,29216.7169984951,84353.7909513892,98258.5741422485,68621.5768470984,223022.289044422,38288.9096486361,153543.964207
