Year,SG_Productivity_Index,Partner_Productivity_Index,Relative_Productivity_Index,REER_Index
1994,88.5,82.92,106.72,103.53
1995,90.82,87.24,104.1,105.1
1996,92.68,91.61,101.16,107.89
1997,94.73,94.61,100.13,109.48
1998,89.45,92.59,96.6,106.94
1999,94.86,95.95,98.87,100.15
2000,100.0,100.0,100.0,100.0
2001,95.95,102.62,93.5,100.62
2002,101.95,107.04,95.24,97.88
2003,108.1,111.98,96.53,94.14
2004,116.86,117.4,99.54,93.16
2005,120.21,123.32,97.48,91.69
2006,122.88,129.94,94.57,93.09
2007,127.69,137.99,92.53,93.56
2008,120.29,143.85,83.62,98.53
2009,118.56,147.95,80.13,98.89
2010,128.78,157.81,81.6,102.24
2011,133.03,165.12,80.57,107.73
2012,133.66,172.59,77.44,112.88
2013,137.94,180.84,76.27,115.06
2014,139.35,188.49,73.93,114.92
2015,139.58,197.15,70.8,112.7
2016,143.7,205.88,69.8,112.12
2017,150.68,215.73,69.85,110.77
2018,154.85,225.49,68.67,110.05
2019,153.16,234.73,65.25,110.3
2020,149.85,238.95,62.71,107.47
2021,167.62,249.0,67.32,107.4
2022,168.95,257.93,65.5,113.37
2023,164.02,265.79,61.71,120.95
2024,166.88,277.36,60.17,124.06
